Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy
0,1.9753648740861116,0.2598705242966752,1.7015129735198202,0.3651
1,1.6559223000655698,0.38362771739130436,1.523684807970554,0.4311
2,1.517185496247333,0.4410845588235294,1.4628067846539654,0.4629
3,1.409645030870462,0.4855218989769821,1.3036232477501979,0.5322
4,1.319622193456001,0.5218390345268542,1.2486837264857715,0.55
5,1.2367864078877833,0.553716432225064,1.1878203402591656,0.5784
6,1.1656463865733817,0.5816416240409207,1.1033885380889796,0.6036
7,1.0995141827236965,0.607285006393862,1.0901064171066768,0.6224
8,1.0498841502477445,0.6234934462915601,0.9773543703405163,0.6581
9,1.0045033591177763,0.6425351662404092,1.0424943679495702,0.6285
10,0.9578901387541495,0.6574088874680307,0.9292843040031723,0.6728
11,0.9204681297702253,0.6701126918158569,0.9797764337515529,0.6586
12,0.887168487319556,0.685821611253197,0.8811806372449368,0.6887
13,0.8613437804419671,0.694693094629156,0.8400578242314013,0.702
14,0.8352006182951086,0.7013786764705882,0.7953773269170448,0.7188
15,0.8117032979455445,0.7142623081841433,0.7863865026944801,0.721
16,0.784599329352074,0.7216392263427109,0.768487482131282,0.7296
17,0.7617616209075274,0.7322969948849105,0.7414034476763085,0.7397
18,0.7386043902553255,0.7372482416879796,0.7519851289217985,0.7357
19,0.7147041521108973,0.7485933503836317,0.6966453326653831,0.7548
20,0.6911171900341883,0.7577845268542199,0.6978216103360623,0.7511
21,0.6766520057950178,0.7614450127877238,0.7071116076240057,0.7584
22,0.659245993170287,0.7676670396419437,0.6469873774655258,0.7746
23,0.6431526763512351,0.7741648017902814,0.6732809249358841,0.767
24,0.6258399720539523,0.7780410805626599,0.6450212484673609,0.7744
25,0.6120216653627508,0.7856657608695652,0.6436553148529197,0.7829
26,0.5895562751213913,0.7905770460358057,0.6073570892780642,0.7873
27,0.5844363948268354,0.7946531329923274,0.596322426690331,0.7947
28,0.5643931609742782,0.8005234974424552,0.6168178565140012,0.7915
29,0.5487996069976436,0.8055906329923274,0.5713549441174616,0.8046
30,0.5374021241274636,0.8092031649616368,0.5664713831642006,0.801
31,0.5315900543309233,0.8120124680306905,0.5996192003352733,0.7945
32,0.5244735435909017,0.8149976023017903,0.5528146224685863,0.8068
33,0.508918049619021,0.8198449488491049,0.5605465449109862,0.8102
34,0.5009162324621245,0.8241088554987213,0.5575713387018517,0.8078
35,0.4839605268310098,0.8306585677749361,0.5683780965171282,0.8035
36,0.4802185460886992,0.8311780690537085,0.5624273570278023,0.8073
37,0.4658927092771701,0.835525895140665,0.5422677454314654,0.8095
38,0.4552822601231163,0.8382352941176471,0.5308175369908538,0.8202
39,0.44539467087182244,0.8439378196930947,0.5433366400531575,0.8169
40,0.44237643015354183,0.8435861572890027,0.55374230501018,0.8125
41,0.43127463026272367,0.847550351662404,0.5181727756427813,0.8249
