Epoch,Train_Loss
0,5.846711747500361
1,5.405398074461489
2,4.982647195154307
3,4.733882563454764
4,4.5538705295445965
5,4.382693312606033
6,4.211398018866169
7,4.063581802407089
8,3.9392306695179062
9,3.83117400626747
10,3.74833252478619
11,3.6513544442702313
12,3.5987445213356795
13,3.5460377201742057
14,3.4780266880989075
15,3.4384129363663343
16,3.397976094362687
17,3.3425278128409874
18,3.3034410111758175
19,3.282633907940923
20,3.2420752887823143
21,3.1871537967604033
22,3.1663868111007067
23,3.1589175061303743
24,3.126331483831211
25,3.107752399785178
26,3.0479443146257985
27,3.0608469138340073
28,3.020681159836905
29,2.99568932397025
30,2.972898840904236
31,2.955074721453141
32,2.9591622170136898
33,2.9487732515043144
34,2.9150201982381394
35,2.9169440141745975
36,2.8754174307901033
37,2.8648758177854576
38,2.8341674561403236
39,2.8264127556158574
40,2.800594299423451
41,2.8245910831860135
42,2.798820676852246
43,2.7772085131431115
44,2.7880149568830217
45,2.7628213495624308
46,2.7433065723399728
47,2.7342269718647003
48,2.7342866501029657
49,2.721610197607352
50,2.7028636050467587
51,2.693973926257114
52,2.692430082632571
53,2.6647022323948995
54,2.6740179323420232
55,2.6710768925900363
56,2.650056092714777
57,2.6361333965038765
58,2.643187634798945
59,2.6180144694386698
60,2.6116524034616897
61,2.6092412812369212
62,2.5940786064887535
63,2.597102543529199
64,2.601520976241754
65,2.5813514371307527
66,2.5857851620839565
67,2.5667206997774086
68,2.5581526348785477
69,2.559258188520159
70,2.5557146127126655
71,2.5678610461098805
72,2.544837770413379
73,2.5408966638603987
74,2.530774466845454
75,2.5327704725216846
76,2.529315326895033
77,2.521349215994076
78,2.5073264587898643
79,2.527696748777312
80,2.5041657144926033
81,2.473214274158283
82,2.4993829380492776
83,2.495383763799862
84,2.4924275491918837
85,2.4894218104226247
86,2.4869063180320117
87,2.480636714064345
88,2.464855267077076
89,2.478689563517668
90,2.4632208852135404
91,2.4479108422386404
92,2.458958414136147
93,2.452127139179074
94,2.4407204407818464
95,2.451555932662925
96,2.4484588686300786
97,2.4618350674911422
98,2.4362077840736935
99,2.433689574197847
